SOURCE_FIELD,TARGET_COLUMN,SOURCE_TABLE
body_value,body,field_data_body
field_city_value,city,field_data_field_city
field_state_value,state,field_data_field_state
field_country_value,country,field_data_field_country
field_links_value,refs,field_data_field_links
